,pID,average_normed_delta_T
0,68,0.2273248366147413
1,97,-0.18577924089280917
2,82,0.5791506963067232
3,85,0.13630283874865046
4,1029,0.11790406793698359
5,84,0.15510883934237588
6,83,0.1107456082460406
7,1019,0.08601681227286494
8,1059,0.11920862015505009
9,1068,0.2518032255442075
10,1028,0.1016524638432594
11,1022,0.06694416510610866
12,1070,0.2621070776669569
13,1025,0.3187565210217116
14,1030,0.04248825646008786
15,1062,0.08882708192104649
16,1037,0.15471481058619205
17,1001,-195920.43750870466
18,1053,0.3005359966624909
19,1006,0.10123728125627617
20,76,0.017046813222851016
21,89,-0.08824312396225446
22,71,0.15505649880227107
23,1013,0.049404365181392
24,1041,0.40279735526331095
25,1014,0.10032341271762055
26,1063,0.0919230216466331
27,1031,0.07295425692121482
28,1064,0.09745315982915712
29,1024,-0.3156962764038965
30,1023,-0.31901508234552334
31,70,0.41917723630176756
32,88,0.11147037916226593
33,77,0.1919158818988577
34,1015,0.2231741922538424
35,1012,-0.09723979997824123
36,1047,0.4859943890441062
37,1052,0.06431008329183285
38,1000,0.22998180127195783
39,1055,1.2307100083481157
40,1066,-0.08965884522813915
41,1033,0.10671714214130655
42,1061,0.11832873687185225
43,1034,0.07948217125589889
44,1021,0.2080631055206234
45,11,0.044722188302235906
46,1045,0.0919694923183123
47,1010,-550288.3206748023
48,1042,-139635.61187130839
49,1017,0.4449544379869326
50,75,0.011911448488651806
51,72,0.029758627822591203
52,1057,0.9155251497797127
53,1002,0.016818960868581673
54,1050,0.3185710939254458
55,1005,0.1969200158474809
56,98,0.2092701878429892
57,67,0.2831706153307724
58,60,0.28758027966064803
59,1020,0.08853622889202978
60,1035,0.17946561369565786
61,1032,0.09668324306326549
62,1004,-0.2320991419137182
63,1051,0.6712041692546653
64,1056,-613132.179370528
65,99,0.11428496787688626
66,1016,0.04657232136552296
67,1043,0.21692733602317557
68,1011,0.12028288088618243
69,73,0.11740765939175198
70,74,-0.04362689489098693
71,1049,0.10478273490406123
72,81,0.25042998756563173
73,86,0.10664291985437387
74,79,0.18861123810249011
75,1009,0.15558020300129305
76,93,0.030820731136315123
77,94,0.17592649670557997
78,1008,0.05533358484274237
79,95,0.046827666187699436
80,92,0.19470746556687316
81,78,0.1442997932886471
82,87,0.06579941516185805
83,80,0.20811781898922938
84,1039,0.044174605073359956
